Square_Feet,Num_Bedrooms,Num_Bathrooms,Lot_Size_Acres,Year_Built,Garage_Spaces,Neighborhood,Price
1660,2,2,0.4883832115596659,1953,2,Downtown,275911.83329552977
4572,5,2,0.42603560110978694,1991,0,Suburb,741664.2942833053
3892,1,2,0.33220456322206426,1987,1,Suburb,589868.4788114948
1266,1,3,0.13358899418858608,1974,0,Downtown,306174.3716216954
4244,1,1,0.5465495693103344,1963,2,Rural,761960.8325405571
3971,1,1,0.4418591535896357,1981,0,Rural,750955.2901411117
3719,1,1,1.4513052095062906,1960,0,Downtown,672531.3708062879
930,5,2,0.8586777980625637,2010,2,Rural,348315.48483800056
2485,3,2,0.553551706594236,1967,1,Downtown,441820.2174992005
1569,2,1,0.8916780214408592,1976,0,Suburb,256862.76959162432
3191,1,2,0.2518352169512585,2004,2,Suburb,616690.6709599028
3233,3,1,0.6938634363431943,2003,1,Rural,609711.3063388339
1984,3,1,0.9580397660605425,1970,2,Suburb,400633.0140382555
4185,2,1,0.7589018560990546,1993,0,Rural,732296.6111536307
4917,5,1,0.6325792609487702,1954,1,Rural,851860.8593418858
3704,4,1,1.4910801639045623,1990,1,Suburb,743112.4462707693
1274,4,1,1.3264564051159442,2008,2,Suburb,389878.4073431667
1882,3,1,0.9539386393311882,2003,2,Rural,423589.79040364106
3358,2,2,0.87559717371431,1971,2,Suburb,647502.0871024326
2847,4,1,0.9499576957456469,2014,1,Downtown,577252.2815361518
3547,3,1,0.3419025563425282,2013,1,Suburb,610829.5645251196
1775,5,2,0.622949727733262,2020,0,Suburb,445037.22830032225
2606,4,2,0.107216322691804,1953,1,Downtown,413319.57301087293
989,3,2,0.7395417543558986,2014,0,Suburb,321335.4127019121
3534,3,1,0.8373856467386116,1964,2,Suburb,562621.5659464705
3805,1,3,0.3802371173496539,1971,2,Rural,681644.9066867298
2699,5,3,1.447841828389995,1996,1,Suburb,528049.1386464919
2067,1,2,1.3687091858590008,1995,2,Suburb,451093.6328709014
2328,2,3,1.0971076914110636,1963,2,Downtown,464445.8925318258
4002,1,2,0.8234106117097758,1999,1,Rural,620030.4143260289
4356,1,1,1.3114552814891431,1969,0,Rural,748664.0871807068
4690,4,3,0.2394458985440212,1999,1,Rural,807392.8791292448
1446,3,1,1.1962392016985832,1982,0,Suburb,359382.12007464014
3688,5,3,0.23099018025193002,2008,1,Rural,700386.0880417589
3235,1,1,1.2016054606966378,1992,1,Downtown,593553.1584833347
1400,5,3,0.44986297396446756,1961,2,Rural,295118.81172852876
3163,1,1,1.321781342476374,1989,1,Downtown,534419.0152781594
2861,2,1,1.4188610360468268,1969,1,Rural,497595.2889158823
1041,1,3,0.26575415563741767,1987,0,Rural,291300.20712487615
2841,4,1,0.7208796273448206,1952,2,Downtown,603936.4469371709
3624,3,1,1.4724316983358934,1977,0,Rural,604790.0463795741
3412,2,1,0.7509407821610626,2005,0,Rural,656661.2228761052
2163,1,3,1.3021439076460906,1962,2,Rural,326509.0072666367
2278,5,3,0.9036607070904138,2015,2,Suburb,451063.7440871938
3356,2,1,0.5942283664834227,1986,2,Downtown,543845.6445203297
1575,2,1,0.4643861555125118,1998,1,Rural,255412.28863821414
4814,1,3,0.3446734820748265,2015,2,Downtown,760814.0501521175
834,2,3,1.154607377497661,1985,2,Downtown,274842.0931568431
3952,5,1,0.6104837348933905,2003,2,Downtown,709306.2898114747
2755,2,1,0.7913494201910892,1975,0,Rural,509047.2582840773
2385,5,1,0.7638719460017138,2021,0,Rural,521551.0732261099
4743,1,2,0.8870545923880403,1989,1,Downtown,820471.9415063875
3873,3,3,1.3050868611556008,1992,0,Suburb,749439.8960306307
1821,2,2,1.4720720481959726,1971,1,Downtown,378114.82665180595
4261,3,3,0.6409971024320346,1969,0,Suburb,690620.2726333535
3413,5,3,1.2499024370541394,1957,2,Downtown,711838.7577821226
4643,2,3,1.1585653022493405,1978,0,Downtown,782665.6994059305
2300,4,3,0.8816169796105813,1989,1,Downtown,438852.52465409035
961,3,3,1.436268358237303,1979,0,Rural,266979.47337452613
2781,2,3,0.34068804751618403,2004,2,Suburb,493823.214985498
1795,3,3,0.20843310494895106,1965,1,Suburb,353547.14299950737
4142,2,2,1.2882448520853622,1995,2,Downtown,760267.5931198807
4598,1,1,0.686767234118935,2011,2,Rural,799852.431644685
2075,3,1,1.2781048386002376,1956,1,Rural,358420.5934507233
1816,4,2,1.3449807975333516,1994,2,Suburb,390414.3473032298
1137,4,2,0.14056351074765358,2008,2,Rural,349577.92045346525
1678,5,2,1.331023906329788,2005,0,Suburb,424140.4840132928
1876,2,2,0.7000626302856622,1997,2,Suburb,496154.50457314035
4793,3,3,0.7901271090561367,1976,2,Suburb,905258.9508681991
1179,5,1,0.9585591410851548,2002,2,Rural,367735.83624970005
1292,3,3,1.3932547797586259,2022,2,Suburb,286771.6680723824
2862,2,1,0.07771833692315784,1984,1,Suburb,539547.3843201343
4684,4,1,0.7414230290608348,2000,0,Downtown,808273.1204963712
864,1,2,1.0471969615243129,1986,2,Suburb,204494.8490535738
3368,4,3,1.0979250886624312,2006,2,Suburb,672059.268799875
2827,5,2,1.0541720257288065,1957,1,Downtown,594394.0172451503
3495,1,3,0.2449309376417767,1969,2,Downtown,642190.1983030462
2295,5,1,0.48412360313893776,2002,1,Rural,419508.78199567576
1191,2,2,0.5701375118546695,1961,0,Suburb,296175.6959167244
4361,1,2,1.2164339511352822,1998,0,Rural,724099.3019189074
3078,5,1,0.45420181500110185,1966,2,Rural,578118.1922482364
3899,2,1,0.3555221976074446,2013,2,Downtown,666792.9405782922
1000,4,1,1.4382996276052396,1991,2,Rural,266822.67996532354
3904,2,2,0.0628517634145299,1978,1,Suburb,707669.184020316
3254,3,3,1.4968402407388683,1968,2,Downtown,573527.1188239824
4445,2,2,1.0313908833432237,1960,2,Suburb,863137.5713807112
1604,2,3,1.2512804842012197,1999,0,Suburb,277571.3062192996
3531,3,2,0.4771981247019801,2020,2,Downtown,627810.5783312967
3573,5,2,0.07075715261723697,2007,0,Suburb,677875.7375494319
2370,5,1,1.1199108019142185,1983,2,Downtown,512113.92436004983
3490,2,3,1.2595096656509799,1969,0,Suburb,631666.4072844343
4640,3,2,1.1236903913326028,1999,2,Downtown,823604.272676575
1828,3,2,0.25713291658621595,1959,0,Rural,377870.16259810515
1302,4,1,1.1424704872726053,1981,1,Suburb,295595.9358725681
1670,5,1,1.1649380340560793,2001,0,Downtown,447457.8235778669
1006,1,3,1.0048837477215795,1964,0,Suburb,288465.1306660117
2284,5,2,1.1608681025536,1952,0,Suburb,503958.57960135373
1663,5,3,1.2765860875327115,1986,2,Suburb,363173.8855821334
3590,4,2,0.9397259656443148,1989,2,Downtown,666325.0980926012
1363,1,3,0.17847683525603464,2021,2,Rural,306996.2392690855
4991,4,1,0.7570603240174558,1989,1,Rural,806511.1376958757
2557,1,2,0.16259153527382736,2005,1,Rural,490810.0399027649
2478,2,3,0.6409373949970247,1972,0,Downtown,447136.46001094964
4042,1,1,0.6403044092321601,1960,1,Rural,700376.2796771551
1859,4,1,0.1457142740033503,2013,0,Downtown,328254.70733535045
2522,5,3,0.555789774255745,1957,0,Suburb,587367.826127206
4114,1,2,0.2109472432474065,2005,0,Suburb,657502.3119353451
3957,1,2,1.2219410545133722,2009,1,Rural,716953.9379502892
3425,3,1,1.4241476376484825,1959,2,Downtown,654825.918272373
3529,5,2,0.15485888912401097,1988,1,Suburb,621415.1562724746
2397,2,2,1.4349170505729671,1977,0,Downtown,507871.7731831069
3860,4,2,0.8077360690382805,1998,0,Downtown,641195.5414907448
3493,2,1,0.4843702330331171,1985,1,Suburb,677243.2896197903
4427,5,3,0.16145000915043708,1962,0,Downtown,782486.4634312966
2163,1,2,0.7759051887021059,1985,0,Suburb,381147.53337559814
2781,1,1,1.2020475395115855,1975,1,Suburb,482231.86216886
2463,5,1,1.0752753920367124,1953,1,Suburb,516401.47131037025
2329,1,3,0.12282771662276196,2013,1,Downtown,427583.78973993333
2838,1,2,0.15570766128346009,1987,0,Suburb,463346.26875453035
4102,1,2,0.6341662598173239,1971,0,Downtown,680906.4953171596
3037,4,3,0.4781712163695177,1951,2,Suburb,515265.318688892
2106,4,3,0.3869572684312693,1980,2,Suburb,538166.3407657162
4829,3,1,0.4574565234176347,1960,1,Rural,773679.4009076165
3475,2,1,1.2150499777804826,1995,2,Rural,668131.8388646299
2082,5,3,1.3973806777661881,2011,0,Rural,489721.1177377124
1509,5,2,0.6373989070649714,2018,2,Downtown,327371.27561720106
4548,5,1,1.3638609530921209,2013,0,Downtown,819179.483601206
1463,3,1,0.5161687668094288,1959,1,Suburb,336973.514301726
2798,4,2,0.7408336301984979,1989,1,Suburb,533103.6058496546
4245,3,1,0.37774204683319956,1973,0,Suburb,773960.4882292154
4543,5,2,0.9786902611549738,1993,2,Suburb,877099.5748621926
2295,2,2,1.469522617003473,2009,1,Downtown,517586.19507298595
4104,1,2,0.925064989262899,2011,1,Suburb,700118.4611716082
4563,4,3,0.5688304219646458,1966,2,Suburb,758334.4860502186
2653,4,3,0.9893352966862662,2014,2,Rural,527557.3256655856
2091,3,3,0.228234983774812,2006,0,Suburb,444526.7467088323
4381,4,2,1.338555666384828,2004,2,Suburb,831710.4490043144
4257,5,2,0.7794717286307628,2002,2,Suburb,675060.864334593
2436,5,3,0.701557125957481,2005,2,Downtown,525025.4824385621
4496,3,1,0.8995039432576029,1958,0,Rural,762794.5401313113
3799,5,2,0.9559366010446336,1971,0,Suburb,679091.519205115
3952,2,1,0.1540749190284439,1962,1,Suburb,719945.1903313629
1498,3,1,1.0397949707739333,1997,0,Rural,348584.9031280222
2960,2,2,0.40080093645751785,1967,1,Suburb,594525.6141331953
4897,1,2,1.0852313171345551,1989,2,Downtown,828456.6003251795
1654,2,1,1.2426754518570853,1966,1,Suburb,381327.38366248796
4274,1,1,1.2157398359511544,1964,1,Downtown,797668.1164453991
2507,1,3,0.8511264027414392,1964,2,Downtown,544157.2005184618
3577,2,3,0.8042463438505892,2012,1,Suburb,612527.8472055751
2533,3,2,0.257170143942147,1988,0,Rural,464909.5990017239
4310,5,3,1.1742519180845465,1962,0,Downtown,767226.8030892011
1002,5,3,0.4435436016477358,1981,0,Rural,307633.59878677106
4055,1,3,0.7702083630860225,1958,0,Suburb,730471.8450124471
1566,1,3,0.4621974347448992,1989,1,Downtown,295199.3149936112
3127,3,1,0.24405112634955506,1969,1,Suburb,550322.948222838
3731,4,2,0.962858660493018,2022,2,Rural,607410.8066020536
997,2,3,0.12878145049321055,2012,1,Suburb,338722.8792999587
2730,1,1,1.13553558948299,1993,1,Suburb,471591.99975582515
4382,5,1,0.5105008531286191,1987,1,Downtown,772303.2140547973
1408,3,1,0.05019530485650372,2009,2,Suburb,294721.42039772705
4072,2,3,0.7911372518939832,2020,0,Suburb,797424.1237885504
1947,3,3,0.11793526736502453,1997,1,Suburb,269533.3832774316
4197,2,2,0.4504458588403042,1967,2,Downtown,719728.4000605107
3311,2,3,1.0751159068107885,1965,2,Rural,608861.3802613309
2594,1,3,0.14089995135170552,2004,2,Rural,474736.1796474499
1459,3,1,1.2670408139162035,1988,0,Suburb,408002.1435601057
3611,3,2,0.05553888785494551,2017,1,Downtown,610394.3048143103
2169,5,3,0.40789461034275826,2008,2,Suburb,519597.70106863824
2786,5,3,1.1243108814205036,2011,0,Rural,597198.8570637143
946,1,1,0.5085917171074948,1962,2,Downtown,269647.7969689257
4019,1,1,0.1977439626957196,1955,2,Rural,624445.425015039
3711,4,3,0.5723391822606204,2009,2,Rural,669448.3386890244
2534,5,2,0.442070265257562,1963,2,Downtown,553744.9006790211
2643,2,2,1.2719322581328045,2003,2,Downtown,543154.7105791616
1288,3,1,0.5043544804984575,1953,0,Suburb,186040.22227613124
